step,current_time,current_time_norm,queue_length_norm,avg_waiting_time_norm,max_lateness_risk_norm,urgent_jobs_norm,energy_tariff_norm,energy_tariff,action_type,oven_id,num_panels,reward,action_validation_reward,launch_reward,heating_reward,wait_reward,energy_cost_penalty,lateness_penalty,completion_reward,queue_length,completed_jobs,total_reward,total_energy_cost,total_lateness_penalty,late_jobs_count,terminated,truncated,oven_0_busy,oven_0_heating,oven_0_cooling,oven_0_time_to_completion,oven_0_time_to_ready,oven_0_temperature,oven_1_busy,oven_1_heating,oven_1_cooling,oven_1_time_to_completion,oven_1_time_to_ready,oven_1_temperature
28,28.000002,0.019444445,0.22602835,0.25781658,0.9950548,0.2913126,0.33333334,0.5,0,0,0,-0.23314845858535793,0.0,0.0,0.0,0.0,0.0,-0.23314845858535793,0.0,23,0,-1.7948082948833939,0.0,1.7948082948833939,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,29.0,0.02013889,0.22602835,0.27330744,0.9950548,0.33637553,0.33333334,0.5,0,0,0,-0.2488467013239847,0.0,0.0,0.0,0.0,0.0,-0.2488467013239847,0.0,23,0,-2.0436549962073784,0.0,2.0436549962073784,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,30.0,0.020833334,0.22602835,0.2886578,0.9950548,0.33637553,0.33333334,0.5,0,0,0,-0.2644152786512078,0.0,0.0,0.0,0.0,0.0,-0.2644152786512078,0.0,23,0,-2.3080702748585864,0.0,2.3080702748585864,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,31.0,0.021527778,0.22602835,0.3038612,0.9950548,0.37994897,0.33333334,0.5,0,0,0,-0.2798472516409066,0.0,0.0,0.0,0.0,0.0,-0.2798472516409066,0.0,24,0,-2.587917526499493,0.0,2.587917526499493,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,32.0,0.022222223,0.23549575,0.3064898,0.9950548,0.37994897,0.33333334,0.5,0,0,0,-0.2951359529583651,0.0,0.0,0.0,0.0,0.0,-0.2951359529583651,0.0,25,0,-2.883053479457858,0.0,2.883053479457858,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,33.0,0.022916667,0.24491866,0.30950692,0.9950548,0.421899,0.33333334,0.5,0,0,0,-0.31027499611013293,0.0,0.0,0.0,0.0,0.0,-0.31027499611013293,0.0,26,0,-3.193328475567991,0.0,3.193328475567991,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,34.0,0.023611112,0.25429553,0.31286484,0.9950548,0.5005202,0.33333334,0.5,0,0,0,-0.3252582835831651,0.0,0.0,0.0,0.0,0.0,-0.3252582835831651,0.0,26,0,-3.518586759151156,0.0,3.518586759151156,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,35.0,0.024305556,0.25429553,0.32782072,0.9950548,0.5005202,0.33333334,0.5,0,0,0,-0.34008001386629383,0.0,0.0,0.0,0.0,0.0,-0.34008001386629383,0.0,27,0,-3.85866677301745,0.0,3.85866677301745,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,36.0,0.025,0.26362485,0.33088982,0.9950548,0.5005202,0.33333334,0.5,0,0,0,-0.3547346873539728,0.0,0.0,0.0,0.0,0.0,-0.3547346873539728,0.0,28,0,-4.213401460371423,0.0,4.213401460371423,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,37.0,0.025694445,0.27290508,0.3342623,0.9950548,0.5005202,0.33333334,0.5,0,0,0,-0.36921711113887973,0.0,0.0,0.0,0.0,0.0,-0.36921711113887973,0.0,29,0,-4.582618571510302,0.0,4.582618571510302,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,38.0,0.02638889,0.2821348,0.3379037,0.9950548,0.5005202,0.33333334,0.5,0,0,0,-0.38689482257340535,0.0,0.0,0.0,0.0,0.0,-0.38689482257340535,0.0,29,0,-4.969513394083708,0.0,4.969513394083708,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,39.0,0.027083334,0.2821348,0.35258338,0.9950548,0.57167,0.33333334,0.5,0,0,0,-0.41486746068464275,0.0,0.0,0.0,0.0,0.0,-0.41486746068464275,0.0,30,0,-5.3843808547683505,0.0,5.3843808547683505,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,40.0,0.027777778,0.2913126,0.35593393,0.9950548,0.6043678,0.33333334,0.5,0,0,0,-0.4420772679387977,0.0,0.0,0.0,0.0,0.0,-0.4420772679387977,0.0,30,0,-5.826458122707148,0.0,5.826458122707148,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,41.0,0.028472222,0.2913126,0.37040195,0.9950548,0.6043678,0.33333334,0.5,0,0,0,-0.4684970864779846,0.0,0.0,0.0,0.0,0.0,-0.4684970864779846,0.0,30,0,-6.294955209185133,0.0,6.294955209185133,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,42.0,0.029166667,0.2913126,0.38469246,0.9950548,0.6043678,0.33333334,0.5,0,0,0,-0.4941047155516873,0.0,0.0,0.0,0.0,0.0,-0.4941047155516873,0.0,31,0,-6.78905992473682,0.0,6.78905992473682,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,43.0,0.029861111,0.3004371,0.38728514,0.9950548,0.63514894,0.33333334,0.5,0,0,0,-0.5188827913652094,0.0,0.0,0.0,0.0,0.0,-0.5188827913652094,0.0,32,0,-7.30794271610203,0.0,7.30794271610203,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,44.0,0.030555556,0.30950692,0.3901519,0.9950548,0.63514894,0.33333334,0.5,0,0,0,-0.542818618894607,0.0,0.0,0.0,0.0,0.0,-0.542818618894607,0.0,32,0,-7.850761334996637,0.0,7.850761334996637,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,45.0,0.03125,0.30950692,0.404189,0.9950548,0.6910695,0.33333334,0.5,0,0,0,-0.5659039624891147,0.0,0.0,0.0,0.0,0.0,-0.5659039624891147,0.0,32,0,-8.416665297485752,0.0,8.416665297485752,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,46.000004,0.031944446,0.30950692,0.41803828,0.9950548,0.71629786,0.33333334,0.5,0,0,0,-0.5881348022848886,0.0,0.0,0.0,0.0,0.0,-0.5881348022848886,0.0,33,0,-9.004800099770641,0.0,9.004800099770641,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
